From,Subject,Message
Quora <curiosity-noreply@quora.com>,"More related to ""What does %10 mean in C++?""","Stories from your activity

-----

Question: What is the difference between % and / in C programming?


Answer from Umang Mittal


Both ‘%’ and ‘/’ are binary operators.

‘%’ is known as the modulus operator or the remainder operator; it is used to find the remainder of division of two numbers.
Eg; 
i 
Read More: https://www.quora.com/qemail/track_click?al_imp=eyJ0eXBlIjogMzMsICJoYXNoIjogIjB8MXwxfDUyNTU4MTc2In0%3D&al_pri=8&aoid=ambBUZQHeSZ&aoty=1&aty=4&cp=1&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source=7&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty=1&ty_data=ambBUZQHeSZ&uid=olylrWT7FVd&v=0
-----
Question: What is 1%10 and 1/10 in C programming?


Answer from Diwakar Singh


Hi

“%” is modulus operator which means if you divide a number with other number then you will get remainder.

Example: 15%4=3

“/” is a divide operator which means if you 
Read More: https://www.quora.com/qemail/track_click?al_imp=eyJ0eXBlIjogMzMsICJoYXNoIjogIjB8MnwxfDIzNDY3MzEyNyJ9&al_pri=8&aoid=ohAgAjeXLhH&aoty=1&aty=4&cp=2&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source=7&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty=1&ty_data=ohAgAjeXLhH&uid=olylrWT7FVd&v=0
-----
Question: What does % mean in C++?


Answer from Michael Hayter


It means modulus - the remainder after a division. 9 % 2 = 1; 8 % 2 = 0;
Read More: https://www.quora.com/qemail/track_click?al_imp=eyJ0eXBlIjogMzMsICJoYXNoIjogIjB8M3wxfDI1MDAxMDc0In0%3D&al_pri=8&aoid=MCkL2vwZdH8&aoty=1&aty=4&cp=3&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source=7&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty=1&ty_data=MCkL2vwZdH8&uid=olylrWT7FVd&v=0
-----
Question: What is the meaning of n/=10 in the C or C++ languages?


Answer from Nitya Agrawal


n/=10 means n=n/10. Its a shorthand method to divide n with 10. For example: if n=20, then n/=10 would answer 2.
Read More: https://www.quora.com/qemail/track_click?al_imp=eyJ0eXBlIjogMzMsICJoYXNoIjogIjB8NHwxfDU1NjQwNDUwIn0%3D&al_pri=8&aoid=bdAl3UILYYm&aoty=1&aty=4&cp=4&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source=7&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty=1&ty_data=bdAl3UILYYm&uid=olylrWT7FVd&v=0
-----
Question: What is the difference between num%10 and num/10 in C++?


Answer from Aakarsh Saxena


Basically in most of the programming languages % and / serve a different purpose. I have worked on languages like C, C++, C#, Java so I can tell you about these languages. 
Read More: https://www.quora.com/qemail/track_click?al_imp=eyJ0eXBlIjogMzMsICJoYXNoIjogIjB8NXwxfDQwMjU3NjYwOCJ9&al_pri=8&aoid=oYuFh50ysCd&aoty=1&aty=4&cp=5&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source=7&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty=1&ty_data=oYuFh50ysCd&uid=olylrWT7FVd&v=0
-----
Question: What does %d mean in C++?


Answer from Yadnya Joshi


Hello!!…..

First let me go to basic of C language. In C whenever we declare any integer “a"" and we want to print it,then,we use printf statement

For eg printf(“%d"",a) ;  
Read More: https://www.quora.com/qemail/track_click?al_imp=eyJ0eXBlIjogMzMsICJoYXNoIjogIjB8NnwxfDE3MzY2NDkyMiJ9&al_pri=8&aoid=IY0l8wA5kIi&aoty=1&aty=4&cp=6&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source=7&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty=1&ty_data=IY0l8wA5kIi&uid=olylrWT7FVd&v=0
-----
Question: Why is it that we use % 10 and /10 while printing numbers in C programming?


Answer from David Lewis


x % 10 gives you the lowest digit of a number and x / 10 will give you the number with the lowest digit removed provided you are doing integer division. It’s probably safe 
Read More: https://www.quora.com/qemail/track_click?al_imp=eyJ0eXBlIjogMzMsICJoYXNoIjogIjB8N3wxfDE0Nzc3NDM2NDQ3NDY1NDcifQ%3D%3D&al_pri=8&aoid=FUGDu6NFkdA&aoty=1&aty=4&cp=7&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source=7&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty=1&ty_data=FUGDu6NFkdA&uid=olylrWT7FVd&v=0
-----
Question: What does ""%="" mean in C programming?


Answer from Justice Långvall


“%” is modulus, or what some call “division with remain”, or something similar.

5%3 = 2, for example, because 3 goes once into 5 and leaves 2, so 2 is the answer.

Thus,  
Read More: https://www.quora.com/qemail/track_click?al_imp=eyJ0eXBlIjogMzMsICJoYXNoIjogIjB8OHwxfDE4OTcwOTA0NSJ9&al_pri=8&aoid=V4Abueydtf7&aoty=1&aty=4&cp=8&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source=7&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty=1&ty_data=V4Abueydtf7&uid=olylrWT7FVd&v=0
-----
Question: The remainder of 1 divided by 10 is 1. May I know how 1 will come?


Answer from Ratnesh Thakur


I am assuming that you asked how 1 is the remainder when 1 is divided by 10.

6 divided by 2
Remainder will be 0 because 2*3 = 6.

7 divided by 2
Remainder in this case wi 
Read More: https://www.quora.com/qemail/track_click?al_imp=eyJ0eXBlIjogMzMsICJoYXNoIjogIjB8OXwxfDY4OTczODAifQ%3D%3D&al_pri=8&aoid=oHy3LRQqgR2&aoty=1&aty=4&cp=9&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source=7&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty=1&ty_data=oHy3LRQqgR2&uid=olylrWT7FVd&v=0
-----
Question: Why do we use % in C++?


Answer from Saurabh


% is modulo operator in c++, which basically computes the remainder when n1 is divided by n2.

i.e.

[code]10%3 = 1;  // 3*3 + 1
10%2 = 0;  // 2*5 + 0
[/code]
Read More: https://www.quora.com/qemail/track_click?al_imp=eyJ0eXBlIjogMzMsICJoYXNoIjogIjB8MTB8MXwzNjQ2Nzc4MzAifQ%3D%3D&al_pri=8&aoid=LjCTFP0BshH&aoty=1&aty=4&cp=10&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source=7&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty=1&ty_data=LjCTFP0BshH&uid=olylrWT7FVd&v=0
-----

-----

To control which emails we send you, visit: https://www.quora.com/qemail/track_click?aoid&aoty=14&aty=4&cp=0&ct=1730604439934515&et=130&id=4636bb079040400483b6cde37316949d&inject=1&source&src=1&st=1730604439939088&stories=1_ambBUZQHeSZ%7C1_ohAgAjeXLhH%7C1_MCkL2vwZdH8%7C1_bdAl3UILYYm%7C1_oYuFh50ysCd%7C1_IY0l8wA5kIi%7C1_FUGDu6NFkdA%7C1_V4Abueydtf7%7C1_oHy3LRQqgR2%7C1_LjCTFP0BshH&ty&ty_data&uid=olylrWT7FVd&v=0

To unsubscribe from this type of email, visit: https://www.quora.com/email_optout/qemail_unsubscribe?email_track_id=4636bb079040400483b6cde37316949d&t=1730604439947304&token=c195bb5352047968a4217290572ae981eaa06465630aa5a60e736c0c02da64f572be1d8aa4a138b3e31280aa6a4080da8ab8b49d849e62e7cbbf5224971dcff5&type=130&uid=2329399527"
"""Bolong Tang (via Google Docs)"" <drive-shares-dm-noreply@google.com>","Document shared with you: ""HackTX 24 Vector Search Challenge""","I've shared an item with you:

HackTX 24 Vector Search Challenge
https://docs.google.com/document/d/1knFYRvFuE3xfTqXMWnbCL7q0HdGcyNwVYuUfKWdi8Io/edit?usp=sharing&ts=672689f3

It's not an attachment -- it's stored online. To open this item, just click  
the link above.
"
hello@freetailhackers.com,You have been invited to a team,
Discord <notifications@discord.com>,sen.zoro mentioned you in HackTX 2024,
Discord <noreply@discord.com>,Verify Email Address for Discord," Hey ayush_pokharel,

Thanks for registering for an account on Discord! Before we get started, we just need to confirm that this is you. Click below to verify your email address:

Verify Email: https://click.discord.com/ls/click?upn=u001.a0NJ38DJJG1sulNx5wS1jq2Trm-2FND-2F8pNqpHdomuLLZSGXZqUjWjS0gkJViyRfE8K8z3ymjKVY225ix7PTM1tdeq4Nsuj42wxZ-2F-2FWCQousjJGiO0H-2FlgY9Cyvvga9wudnpFqCNyZ9vSNTUs256fdBEZa4em8tMD097JV-2BK8YRGx1hZI-2BQqoGTfdLG2C8-2B7e9H3gIMJEr3g-2FRodx2q-2Be1eWkARWep7gcQae38aySfD5Q-3DjFaf_Jaai3hjBhCCmSgaW3FR0XxfgpvY-2F2gq5OHvJedGChiSOT4-2B-2F-2BtGrn6wX1yzmkUlOn11-2BZoBw8IkaOYRVgmFi3S1L0-2FeiQsyC-2BnRYxeiwESwaU-2BbArkoHSXnnf6a15GHL92l3KBYXKZ-2BNornH2S2oGSFVL13oRhKkBC9SzB4lW5k07OUXJJZZqMqUOOX6WRYW-2Bivt-2BGP496-2FIf5Rfjay2iPLXiuHbbWqkbX1wZcFyvQCvx74Xs3L7SWqbMCcyADHj

"
Discord <noreply@discord.com>,Verify Email Address for Discord," Hey ayush_pokharel,

Thanks for registering for an account on Discord! Before we get started, we just need to confirm that this is you. Click below to verify your email address:

Verify Email: https://click.discord.com/ls/click?upn=u001.a0NJ38DJJG1sulNx5wS1jq2Trm-2FND-2F8pNqpHdomuLLZSGXZqUjWjS0gkJViyRfE8K8z3ymjKVY225ix7PTM1tdeq4Nsuj42wxZ-2F-2FWCQousjJGiO0H-2FlgY9Cyvvga9wudnpFqCNyZ9vSNTUs256fdBEZa4em8tMD097JV-2BK8YRGz-2FoYWCJZlY-2F9-2FAH7OyBuzXiOtnf-2Fcez4UEC-2FBcUeWOfih6iZXRN3ZKXtyP8pu2CV4-3DCBvw_Jaai3hjBhCCmSgaW3FR0XxfgpvY-2F2gq5OHvJedGChiRhbwAAAKWu0Ccs9MXlCMXjN1TIkm0MyBIGjyHAjVUZiVs53dx7xz5MfD1K2f-2Fkd37FK83-2FdyOHqnfAOKNamgJAl4wX172TYk3U5YMz8Hbr2nbNuI3S-2Fw72GR-2FvukbJpXZ9rCUW3vRnQYMuzVamVyEpx3zusotc1-2F4GW1MEDT-2FKZsqA0vZVUGnu0GQ5CDEC570t7pZQzjFMj3beYtYgpz2w

"
noreply@consumer.intel.com,Welcome to Intel Corporation,"************************************************
Your Intel account has been created successfully
************************************************

Welcome to Intel!

Your Login Email Address: ayush.pokharel8@gmail.com

Sincerely,
Intel"
noreply@consumer.intel.com,Intel account email verification code,"*************************
Verify your email address
*************************

Your Intel single-use code is: 112993

This code will expire in 20 minutes. If you did not request this, you can disregard this email.

Sincerely,
Intel"
pathsofstoicism <improvebypathsofstoicism@substack.com>,You can eliminate your lust.,"View this post on the web at https://improvebypathsofstoicism.substack.com/p/you-can-eliminate-your-lust

Lust, in its simplest form, is intense desire. It’s human, it’s natural, and it’s wired into us. But when it gets out of hand, it can throw us off track in more ways than we realize.
We live in a world where we’re constantly bombarded with things designed to pull at our desires—social media, advertising, the endless pursuit of “more.” From the envy we feel over someone’s seemingly perfect life on Instagram to the impulse to buy that trendy gadget or try to impress others, these things spark lust in many forms. When we let these desires run unchecked, they drain our time, focus, and energy—taking us away from what we truly want to achieve.
Thanks for reading The improvement journal! Subscribe for free to receive new posts and support my work.
Lust in excess can feel like a constant pull, one that clouds our judgment and nudges us into impulsive decisions. Over time, these distractions can lead to regret as we lose sight of our long-term goals for short-lived satisfaction. If we want to live a life of focus and purpose, learning to recognize and manage these desires is essential.
The Problem with Excessive Lust
Every moment you spend distracted by an urge is a moment you’re not dedicating to something meaningful. Lust clouds judgment, makes us act on impulse, and shifts our priorities. When these desires turn into a craving for instant gratification, they often leave us feeling empty afterward—because the satisfaction is only temporary.
How to Keep Lust in Check
So how do we get control over these desires before they control us? Here’s a closer look at five practical steps:
Recognize the Feeling and Pause
The first step to controlling lust is simply noticing it when it shows up. Say you’re scrolling on social media and suddenly feel the urge to look up your ex’s profile, or maybe you get a sudden itch to buy something expensive you don’t need. When you feel that rush, take a moment to pause.
This pause isn’t about judgment; it’s about giving yourself the chance to reflect. Ask yourself, “Why am I feeling this? Is this going to benefit me in the long run?” Pausing gives you a chance to make a conscious decision rather than an impulsive one. Over time, even a brief pause will help you respond to desires more thoughtfully.
Refocus on Your Goals
When you’re clear on your life goals, the things that matter become your “north star.” If your main focus is improving your health or building a new skill, for example, you’ll have less room for distractions. Take a few minutes each day to remind yourself why you’re on this journey of improvement. Whether that’s to feel healthier, achieve career growth, or just enjoy more peace, reflecting on your bigger goals will help filter out distractions.
So next time you feel pulled by an urge, think about how your choice will impact those goals. Will it push you closer, or pull you away? This refocus brings purpose back into your decisions and gives you clarity.
Practice Self-Discipline Daily
Discipline is like a muscle; it grows stronger with daily use. The more we practice self-control in small, everyday decisions, the more naturally we can resist bigger urges when they come up. Start with small habits, like committing to a short workout every day, setting a regular time to read, or limiting screen time before bed.
Each time you follow through on these little promises to yourself, you reinforce the ability to say “no” when bigger distractions come along. Over time, these small acts of discipline add up and make resisting larger temptations less of a struggle.
Limit Triggers
We all have certain triggers—whether it’s scrolling through social media, watching certain content, or hanging around people who encourage distractions. For example, if you notice that certain apps make you crave validation or stir up unhealthy comparisons, consider setting time limits or muting notifications.
When you limit the things that spark desire, you create more room for peace and focus. This doesn’t mean cutting out all distractions overnight. Instead, start by setting boundaries around one or two habits. Reducing your exposure to triggers bit by bit makes a big difference.
Channel Desire into Positive Outlets
Desire isn’t a bad thing—it’s just energy looking for a place to go. So instead of trying to shut it down entirely, why not redirect it? For example, if you find yourself craving excitement, maybe it’s time to start a new hobby or get into a fitness routine that challenges you. This kind of redirection channels the energy of desire into something beneficial.
By giving yourself something meaningful to focus on, like a personal project, a workout goal, or learning a new skill, you’ll find that other distractions naturally lose their grip. Channeling energy into positive outlets brings a sense of accomplishment and pride that can easily outweigh fleeting urges.
The Big Picture
Ultimately, controlling lust is about becoming the master of your own mind. It’s about deciding that your time, energy, and focus are too valuable to waste on distractions. When you take back that control, you’ll find that life becomes richer, clearer, and more fulfilling.
Remember: our biggest distractions often reveal what we need to work on most. By taking control of our desires, we open the door to more purpose, peace, and long-term happiness.
Stay focused and keep moving forward. You’ve got this!
Best,
pathsofstoicism.
Stay up to date with our newsletter!

Unsubscribe https://substack.com/redirect/2/eyJlIjoiaHR0cHM6Ly9pbXByb3ZlYnlwYXRoc29mc3RvaWNpc20uc3Vic3RhY2suY29tL2FjdGlvbi9kaXNhYmxlX2VtYWlsP3Rva2VuPWV5SjFjMlZ5WDJsa0lqb3lOelkxTURJNU5EUXNJbkJ2YzNSZmFXUWlPakUxTVRBeU5UQXdNaXdpYVdGMElqb3hOek13TlRZME1qRTNMQ0psZUhBaU9qRTNOakl4TURBeU1UY3NJbWx6Y3lJNkluQjFZaTB6TWpBek5qZzJJaXdpYzNWaUlqb2laR2x6WVdKc1pWOWxiV0ZwYkNKOS4zVkFIUmdKY3U1YU1xMl9QM3VoaHRiYm5EY0lkeEJSZXBmOWNDUDk5RktnIiwicCI6MTUxMDI1MDAyLCJzIjozMjAzNjg2LCJmIjp0cnVlLCJ1IjoyNzY1MDI5NDQsImlhdCI6MTczMDU2NDIxNywiZXhwIjoxNzMzMTU2MjE3LCJpc3MiOiJwdWItMCIsInN1YiI6ImxpbmstcmVkaXJlY3QifQ.hCPuXHc1DPfQ0OfOFRUKfNDKXO8sw15jXejOTpVzysk?"
ByteByteGo <bytebytego@substack.com>,EP136: The Ultimate DevOps Developer Roadmap,"View this post on the web at https://blog.bytebytego.com/p/ep136-the-ultimate-devops-developer

Generate Handwritten SDKs (Sponsored) [ https://substack.com/redirect/f3aa3855-1211-44c1-bc2a-b032e6d27af1?j=eyJ1IjoiNGttZjFjIn0.gcsUzE5NXaGUueZCDXoZj_4qIXulgaasToHhJaZqz5Y ]
Invest hundreds of hours your team doesn't have in maintaining SDKs by hand or generate crappy SDKs that leave a bad impression on your users. That's two bad options. Fortunately, you can now use Speakeasy to create ergonomic type-safe SDKs in over 10 languages. We've worked with language experts to create a generator that gets the details right. With Speakeasy, you can build SDKs that your team is proud of and offer code-native API docs as well.
This week’s system design refresher:
Everything You NEED to KNOW About Web Applications (Youtube video)
The Ultimate DevOps Developer Roadmap
6 Software Architectural Patterns You Must Know
Top Eventual Consistency Patterns You Must Know
SPONSOR US
Everything You NEED to KNOW About Web Applications
The Ultimate DevOps Developer Roadmap
Programming Languages
Pick and master one or two programming languages. Choose from options like Python, JavaScript, Go, Ruby, etc.
Operating Systems
Master the ins and outs of major operating systems like Linux, Windows, Mac, and so on.
Source Control Management
Learn about source control management tools such as Git, GitHub, GitLab, and Bitbucket.
Networking
Master the basics of networking concepts such as DNS, IP, TCP, and SSH.
CI/CD
Pick tools like GitHub Actions, Jenkins, or CircleCI to learn about continuous integration and continuous delivery.
Scripting and Terminals
Learn scripting in bash, and PowerShell along with knowledge of various terminals and editors.
Hosting and Platforms
Master multiple hosting platforms such as AWS, Azure, GCP, Docker, Kubernetes, Digital Ocean, Lambda, Azure Functions, etc.
Infrastructure as Code
Learn infrastructure as code tools like Terraform, Pulumi, Ansible, Chef, Puppet, Kubernetes, etc.
Monitoring and Logging
Master the key tools for monitoring and logging for infrastructure and applications such as Prometheus, Elasticsearch, Logstash, Kibana, etc.
Basics of Software Development
Learn the basics of software development such as system availability, data management, design patterns, and team collaboration.
Over to you: What else would you add to this roadmap?
New Relic unveils the industry's first Intelligent Observability Platform (Sponsored) [ https://substack.com/redirect/f6fe2ac8-d363-47ea-84ab-4475cb7675c7?j=eyJ1IjoiNGttZjFjIn0.gcsUzE5NXaGUueZCDXoZj_4qIXulgaasToHhJaZqz5Y ]
The New Relic Intelligent Observability Platform, transforms observability from ensuring uptime and reliability into a key driver of business growth and developer velocity for enterprises worldwide. With new innovations such as New Relic AI and GitHub Copilot integration, New Relic Pathpoint Plus for business observability, and New Relic Retail Solution.
The Ultimate Redis 101
Redis is one of the most popular data stores in the world and is packed with features.
Here are 8 simple steps that can help you understand the fundamentals of Redis.
What is Redis?
Redis (Remote Dictionary Server) is a multi-modal database that provides sub-millisecond latency. The core idea behind Redis is that a cache can also act as a full-fledged database.
Redis Adoption
High-traffic internet websites like Airbnb, Uber, Slack, and many others have adopted Redis in their technology stack.
How Redis Changed the Database Game?
Redis supported main memory read/writes while still supporting fully durable storage. Read and writes are served from the main memory but the data is also persisted to the disk. This is done using snapshots (RDB) and AOF.
Redis Data Structures
Redis stores data in key-value format. It supports various data structures such as strings, bitmaps, lists, sets, sorted sets, hash, JSON, etc.
Basic Redis Commands
Some of the most used Redis commands are SET, GET, DELETE, INCR, HSET, etc. There are many more commands available.
Redis Modules
Redis modules are add-ons that extend Redis functionality beyond its core features. Some prominent modules are RediSearch, RedisJSON, RedisGraph, RedisBloom, RedisAI, RedisTimeSeries, RedisGears, RedisML, and so on.
Redis Pub/Sub
Redis also supports even-driven architecture using a publish-subscribe communication model.
Redis Use Cases
Top Redis use cases are Distributed Caching, Session Storage, Message Queue, Rate Limiting, High-Speed Database, etc.
Over to you: What else will you add to get a better understanding of Redis?
6 Software Architectural Patterns You Must Know
Choosing the right software architecture pattern is essential for solving problems efficiently.
Layered Architecture
Each layer plays a distinct and clear role within the application context. 
Great for applications that need to be built quickly. On the downside, source code can become unorganized if proper rules aren’t followed
Microservices Architecture
Break down a large system into smaller and more manageable components.
Systems built with microservices architecture are fault tolerant. Also, each component can be scaled individually. On the downside, it might increase the complexity of the application.
Event-Driven Architecture
Services talk to each other by emitting events that other services may or may not consume.
This style promotes loose coupling between components. However, testing individual components becomes challenging
Client-Server Architecture
It comprises two main components - clients and servers communicating over a network.
Great for real-time services. However, servers can become a single point of failure.
Plugin-based Architecture
This pattern consists of two types of components - a core system and plugins. The plugin modules are independent components providing a specialized functionality.
Great for applications that have to be expanded over time like IDEs. However, changing the core is difficult.
Hexagonal Architecture
This pattern creates an abstraction layer that protects the core of an application and isolates it from external integrations for better modularity. Also known as ports and adapters architecture.
On the downside, this pattern can lead to increased development time and learning curve.
Over to you: Which other architectural pattern have you seen?
Top Eventual Consistency Patterns You Must Know
Eventual consistency is a data consistency model that ensures that updates to a distributed database are eventually reflected across all nodes. Techniques like async replication help achieve eventual consistency.
However, eventual consistency can also result in data inconsistency. Here are 4 patterns that can help you design applications.
Pattern#1 - Event-based Eventual Consistency
Services emit events and other services listen to these events to update their database instances. This makes services loosely coupled but delays data consistency.
Pattern#2 - Background Sync Eventual Consistency
In this pattern, a background job makes the data across databases consistent. It results in slower eventual consistency since the background job runs on a specific schedule.
Pattern#3 - Saga-based Eventual Consistency
Saga is a sequence of local transactions where each transaction updates data with a single service. It is used to manage long-lived transactions that are eventually consistent.
Pattern#4 - CQRS-based Eventual Consistency
Separate read and write operations into different databases that are eventually consistent. Read and write models can be optimized for specific requirements.
Over to you: Which other eventual consistency patterns have you seen?
SPONSOR US
Get your product in front of more than 1,000,000 tech professionals.
Our newsletter puts your products and services directly in front of an audience that matters - hundreds of thousands of engineering leaders and senior engineers - who have influence over significant tech decisions and big purchases.
Space Fills Up Fast - Reserve Today
Ad spots typically sell out about 4 weeks in advance. To ensure your ad reaches this influential audience, reserve your space now by emailing sponsorship@bytebytego.com [ mailto:sponsorship@bytebytego.com ]

Unsubscribe https://substack.com/redirect/2/eyJlIjoiaHR0cHM6Ly9ibG9nLmJ5dGVieXRlZ28uY29tL2FjdGlvbi9kaXNhYmxlX2VtYWlsP3Rva2VuPWV5SjFjMlZ5WDJsa0lqb3lOelkxTURJNU5EUXNJbkJ2YzNSZmFXUWlPakUxTVRBeU1qYzFOeXdpYVdGMElqb3hOek13TlRZeU1qSTJMQ0psZUhBaU9qRTNOakl3T1RneU1qWXNJbWx6Y3lJNkluQjFZaTA0TVRjeE16SWlMQ0p6ZFdJaU9pSmthWE5oWW14bFgyVnRZV2xzSW4wLlRDaE9OX3JnTXhUTWFkTGVvMHkyTk0zRlMxZ0t1d3hKQXpnVmN5bkVHWVkiLCJwIjoxNTEwMjI3NTcsInMiOjgxNzEzMiwiZiI6dHJ1ZSwidSI6Mjc2NTAyOTQ0LCJpYXQiOjE3MzA1NjIyMjYsImV4cCI6MTczMzE1NDIyNiwiaXNzIjoicHViLTAiLCJzdWIiOiJsaW5rLXJlZGlyZWN0In0.pnHmqr6UUZdkc83M5z-62-tOcr1Sft6BWYnKL78oP3c?"
